Sales Person,Product,Date,Sales,Boxes,Expenses,Category,Team
Kelci Walkden,85% Dark Bars,2022-02-13,"$6,167",257,$191,Bars,Yummies
Gigi Bohling,Almond Choco,2022-02-13,"$6,909",364,"$4,762",Bars,Delish
Ches Bonnell,50% Dark Bites,2022-02-13,"$2,296",154,$517,Bites,Tempo
Gunar Cockshoot,Mint Chip Choco,2022-02-14,$406,24,$61,Bars,Yummies
Wilone O'Kielt,Drinking Coco,2022-02-14,"$1,904",71,$178,Other,Delish
Dotty Strutley,Almond Choco,2022-02-14,"$9,443",430,"$5,223",Bars,Delish
Dotty Strutley,Manuka Honey Choco,2022-02-14,"$1,232",38,$300,Other,Delish
Gigi Bohling,Mint Chip Choco,2022-02-14,"$1,519",95,$198,Bars,Delish
Roddy Speechley,Fruit & Nut Bars,2022-02-14,$231,14,$22,Bars,Delish
Marney O'Breen,After Nines,2022-02-15,"$4,907",205,"$1,170",Bites,Yummies
Oby Sorrel,99% Dark & Pure,2022-02-15,"$5,999",316,"$1,399",Bars,Jucies
Mallorie Waber,Organic Choco Syrup,2022-02-15,"$2,863",99,$159,Other,Tempo
Dennison Crosswaite,Organic Choco Syrup,2022-02-15,"$3,430",132,$279,Other,Yummies
Jehu Rudeforth,Caramel Stuffed Bars,2022-02-15,"$13,405",463,$420,Bars,Tempo
Jan Morforth,Manuka Honey Choco,2022-02-15,"$1,981",67,$523,Other,Delish
Dotty Strutley,50% Dark Bites,2022-02-15,"$9,373",1042,"$2,859",Bites,Delish
Husein Augar,85% Dark Bars,2022-02-15,"$12,089",637,$532,Bars,Yummies
Marney O'Breen,Drinking Coco,2022-02-15,"$2,940",109,$324,Other,Yummies
Dotty Strutley,Choco Coated Almonds,2022-02-15,"$2,149",127,"$1,384",Bites,Delish
Jan Morforth,White Choc,2022-02-15,"$7,378",462,$117,Other,Delish
Mallorie Waber,After Nines,2022-02-15,$945,30,$198,Bites,Tempo
Dotty Strutley,Mint Chip Choco,2022-02-15,"$1,225",82,$221,Bars,Delish
Dennison Crosswaite,50% Dark Bites,2022-02-15,"$8,484",606,"$1,680",Bites,Yummies
Brien Boise,Baker's Choco Chips,2022-02-15,"$2,009",155,"$1,065",Bars,Jucies
Jan Morforth,Orange Choco,2022-02-15,"$11,473",1913,"$19,163",Bars,Delish
Kaine Padly,Peanut Butter Cubes,2022-02-15,$945,45,$248,Bites,Delish
Beverie Moffet,After Nines,2022-02-15,$973,41,$276,Bites,Jucies
Andria Kimpton,White Choc,2022-02-15,"$6,517",593,$147,Other,Jucies
Husein Augar,Drinking Coco,2022-02-16,"$7,798",312,$750,Other,Yummies
Husein Augar,Mint Chip Choco,2022-02-16,$966,57,$146,Bars,Yummies
Wilone O'Kielt,50% Dark Bites,2022-02-16,$917,77,$235,Bites,Delish
Andria Kimpton,Milk Bars,2022-02-16,$434,17,$34,Bars,Jucies
Dotty Strutley,Drinking Coco,2022-02-16,"$9,037",323,$736,Other,Delish
Jan Morforth,Smooth Sliky Salty,2022-02-16,$364,22,$127,Bars,Delish
Karlen McCaffrey,Almond Choco,2022-02-16,"$7,903",416,"$5,442",Bars,Yummies
Gigi Bohling,85% Dark Bars,2022-02-16,"$8,540",389,$292,Bars,Delish
Madelene Upcott,Mint Chip Choco,2022-02-16,"$4,130",207,$450,Bars,Jucies
Dennison Crosswaite,Eclairs,2022-02-16,"$2,653",166,$482,Bites,Yummies
Jehu Rudeforth,Eclairs,2022-02-16,"$7,133",549,"$1,842",Bites,Tempo
Andria Kimpton,Caramel Stuffed Bars,2022-02-16,"$6,678",268,$246,Bars,Jucies
Husein Augar,Manuka Honey Choco,2022-02-16,"$9,884",396,"$3,375",Other,Yummies
Madelene Upcott,50% Dark Bites,2022-02-16,"$11,417",1269,"$4,086",Bites,Jucies
Andria Kimpton,Manuka Honey Choco,2022-02-16,"$11,039",409,"$3,195",Other,Jucies
Kaine Padly,Organic Choco Syrup,2022-02-16,$189,7,$13,Other,Delish
Madelene Upcott,Choco Coated Almonds,2022-02-16,"$2,835",135,"$1,626",Bites,Jucies
Karlen McCaffrey,Organic Choco Syrup,2022-02-16,"$4,214",141,$259,Other,Yummies
Husein Augar,Eclairs,2022-02-16,"$3,031",145,$470,Bites,Yummies
Camilla Castle,85% Dark Bars,2022-02-16,"$4,851",211,$160,Bars,Tempo
Jan Morforth,Eclairs,2022-02-16,"$4,543",240,$724,Bites,Delish
Husein Augar,Baker's Choco Chips,2022-02-19,"$3,108",389,"$2,460",Bars,Yummies
Dotty Strutley,Drinking Coco,2022-02-19,"$3,563",128,$365,Other,Delish
Roddy Speechley,Raspberry Choco,2022-02-19,"$8,981",499,"$3,074",Bars,Delish
Curtice Advani,Drinking Coco,2022-02-19,$833,34,$90,Other,Delish
Mallorie Waber,Manuka Honey Choco,2022-02-19,"$4,165",155,"$1,162",Other,Tempo
Curtice Advani,Drinking Coco,2022-02-19,$896,36,$83,Other,Delish
Curtice Advani,Baker's Choco Chips,2022-02-19,"$12,943",925,"$5,344",Bars,Delish
Andria Kimpton,99% Dark & Pure,2022-02-19,"$3,983",182,$865,Bars,Jucies
Jan Morforth,Spicy Special Slims,2022-02-20,"$4,025",161,"$1,631",Bites,Delish
Dennison Crosswaite,99% Dark & Pure,2022-02-20,"$4,809",241,"$1,067",Bars,Yummies
Husein Augar,Eclairs,2022-02-20,"$6,398",400,"$1,173",Bites,Yummies
Dotty Strutley,Smooth Sliky Salty,2022-02-20,"$2,387",171,$901,Bars,Delish
Oby Sorrel,Baker's Choco Chips,2022-02-20,"$5,789",446,"$3,255",Bars,Jucies
Jehu Rudeforth,Manuka Honey Choco,2022-02-20,"$6,769",219,"$1,797",Other,Tempo
Camilla Castle,White Choc,2022-02-20,"$3,248",271,$74,Other,Tempo
Kaine Padly,Organic Choco Syrup,2022-02-20,"$11,473",499,$959,Other,Delish
Dennison Crosswaite,Raspberry Choco,2022-02-20,$819,49,$284,Bars,Yummies
Oby Sorrel,Peanut Butter Cubes,2022-02-20,"$6,195",239,"$1,260",Bites,Jucies
Curtice Advani,Peanut Butter Cubes,2022-02-20,"$2,961",119,$611,Bites,Delish
Karlen McCaffrey,Spicy Special Slims,2022-02-20,"$3,360",147,"$1,259",Bites,Yummies
Husein Augar,Almond Choco,2022-02-20,"$10,059",592,"$7,507",Bars,Yummies
Andria Kimpton,Spicy Special Slims,2022-02-20,"$5,257",229,"$2,404",Bites,Jucies
Van Tuxwell,Smooth Sliky Salty,2022-02-21,"$1,596",84,$409,Bars,Yummies
Karlen McCaffrey,Caramel Stuffed Bars,2022-02-21,"$8,316",320,$328,Bars,Yummies
Dennison Crosswaite,50% Dark Bites,2022-02-21,"$3,283",235,$724,Bites,Yummies
Karlen McCaffrey,After Nines,2022-02-21,"$6,727",217,"$1,610",Bites,Yummies
Brien Boise,85% Dark Bars,2022-02-21,"$1,344",68,$46,Bars,Jucies
Wilone O'Kielt,Mint Chip Choco,2022-02-21,"$4,774",319,$781,Bars,Delish
Karlen McCaffrey,Milk Bars,2022-02-21,$399,14,$27,Bars,Yummies
Jehu Rudeforth,Milk Bars,2022-02-21,"$3,024",121,$242,Bars,Tempo
Jan Morforth,Almond Choco,2022-02-21,$602,41,$553,Bars,Delish
Kelci Walkden,Choco Coated Almonds,2022-02-21,"$8,673",434,"$5,475",Bites,Yummies
Marney O'Breen,Smooth Sliky Salty,2022-02-21,"$12,404",591,"$3,530",Bars,Yummies
Gigi Bohling,Eclairs,2022-02-21,"$9,541",637,"$1,760",Bites,Delish
Marney O'Breen,Almond Choco,2022-02-21,$483,25,$354,Bars,Yummies
Gigi Bohling,Drinking Coco,2022-02-21,"$2,709",97,$233,Other,Delish
Kaine Padly,Raspberry Choco,2022-02-21,"$10,983",687,"$3,938",Bars,Delish
Mallorie Waber,Manuka Honey Choco,2022-02-22,"$4,326",140,"$1,304",Other,Tempo
Karlen McCaffrey,Mint Chip Choco,2022-02-22,$112,7,$16,Bars,Yummies
Oby Sorrel,Baker's Choco Chips,2022-02-22,"$5,565",619,"$3,425",Bars,Jucies
Oby Sorrel,50% Dark Bites,2022-02-22,"$9,898",1100,"$3,018",Bites,Jucies
Beverie Moffet,After Nines,2022-02-22,$476,20,$118,Bites,Jucies
Roddy Speechley,Eclairs,2022-02-22,"$4,599",329,$946,Bites,Delish
Wilone O'Kielt,White Choc,2022-02-22,"$3,031",190,$48,Other,Delish
Dennison Crosswaite,After Nines,2022-02-22,"$5,208",186,"$1,274",Bites,Yummies
Gigi Bohling,Choco Coated Almonds,2022-02-22,"$5,873",267,"$3,093",Bites,Delish
Karlen McCaffrey,Spicy Special Slims,2022-02-22,"$16,968",653,"$6,073",Bites,Yummies
Rafaelita Blaksland,Choco Coated Almonds,2022-02-22,"$12,635",903,"$12,013",Bites,Yummies
Jan Morforth,99% Dark & Pure,2022-02-22,$567,34,$160,Bars,Delish
Curtice Advani,Organic Choco Syrup,2022-02-22,"$8,246",330,$622,Other,Delish
Rafaelita Blaksland,Orange Choco,2022-02-23,"$3,101",239,"$2,520",Bars,Yummies
Jehu Rudeforth,Smooth Sliky Salty,2022-02-23,"$4,326",228,"$1,030",Bars,Tempo
Dotty Strutley,Eclairs,2022-02-23,"$5,376",317,$930,Bites,Delish
Curtice Advani,Spicy Special Slims,2022-02-23,"$2,240",102,$939,Bites,Delish
Van Tuxwell,Fruit & Nut Bars,2022-02-23,$784,44,$77,Bars,Yummies
Barr Faughny,Almond Choco,2022-02-26,"$2,240",118,"$1,827",Bars,Yummies
Barr Faughny,Peanut Butter Cubes,2022-02-26,"$6,643",266,"$1,490",Bites,Yummies
Gunar Cockshoot,Smooth Sliky Salty,2022-02-26,"$4,459",235,"$1,274",Bars,Yummies
Dotty Strutley,Choco Coated Almonds,2022-02-26,"$6,713",373,"$4,406",Bites,Delish
Husein Augar,Spicy Special Slims,2022-02-26,"$3,108",116,"$1,250",Bites,Yummies
Brien Boise,Choco Coated Almonds,2022-02-26,"$11,116",530,"$5,714",Bites,Jucies
Curtice Advani,99% Dark & Pure,2022-02-26,$406,18,$76,Bars,Delish
Rafaelita Blaksland,70% Dark Bites,2022-02-26,"$6,055",757,"$6,053",Bites,Yummies
Mallorie Waber,Milk Bars,2022-02-26,"$2,968",106,$227,Bars,Tempo
Roddy Speechley,99% Dark & Pure,2022-02-27,"$5,369",256,"$1,431",Bars,Delish
Ches Bonnell,Caramel Stuffed Bars,2022-02-27,"$9,268",371,$364,Bars,Tempo
Curtice Advani,Manuka Honey Choco,2022-02-27,"$7,735",287,"$2,129",Other,Delish
Kaine Padly,Choco Coated Almonds,2022-02-27,"$8,540",407,"$4,248",Bites,Delish
Rafaelita Blaksland,Smooth Sliky Salty,2022-02-27,"$6,265",369,"$2,223",Bars,Yummies
Rafaelita Blaksland,Manuka Honey Choco,2022-02-27,$98,4,$36,Other,Yummies
Jehu Rudeforth,Milk Bars,2022-02-27,"$7,105",237,$486,Bars,Tempo
Kaine Padly,Peanut Butter Cubes,2022-02-27,"$10,605",483,"$2,273",Bites,Delish
Madelene Upcott,Eclairs,2022-02-27,"$20,384",1359,"$3,717",Bites,Jucies
Dotty Strutley,Drinking Coco,2022-02-27,$364,15,$43,Other,Delish
Brien Boise,After Nines,2022-02-27,"$6,881",238,"$1,751",Bites,Jucies
Marney O'Breen,After Nines,2022-02-27,$483,20,$146,Bites,Yummies
Dotty Strutley,Smooth Sliky Salty,2022-02-27,"$11,284",753,"$4,423",Bars,Delish
Mallorie Waber,Spicy Special Slims,2022-02-27,"$1,449",52,$560,Bites,Tempo
Gigi Bohling,99% Dark & Pure,2022-02-28,"$7,273",317,"$1,669",Bars,Delish
Brien Boise,Drinking Coco,2022-02-28,"$6,916",277,$618,Other,Jucies
Kelci Walkden,Eclairs,2022-02-28,$868,52,$160,Bites,Yummies
Barr Faughny,Smooth Sliky Salty,2022-02-28,$952,53,$242,Bars,Yummies
Marney O'Breen,Eclairs,2022-02-28,"$3,220",190,$504,Bites,Yummies
Madelene Upcott,Peanut Butter Cubes,2022-02-28,"$3,745",209,$974,Bites,Jucies
Wilone O'Kielt,Almond Choco,2022-02-28,"$10,878",473,"$7,198",Bars,Delish
Mallorie Waber,50% Dark Bites,2022-02-28,"$2,653",295,$933,Bites,Tempo
Jan Morforth,Peanut Butter Cubes,2022-02-28,"$1,043",53,$269,Bites,Delish
Camilla Castle,White Choc,2022-02-28,"$5,257",526,$125,Other,Tempo
Rafaelita Blaksland,Raspberry Choco,2022-02-28,"$9,639",439,"$3,106",Bars,Yummies
Kelci Walkden,Raspberry Choco,2022-02-28,"$12,950",720,"$5,006",Bars,Yummies
Barr Faughny,70% Dark Bites,2022-02-28,"$2,884",412,"$4,007",Bites,Yummies
Gunar Cockshoot,Almond Choco,2022-02-28,"$3,024",132,"$1,938",Bars,Yummies
Gunar Cockshoot,Almond Choco,2022-02-28,"$9,394",553,"$8,120",Bars,Yummies
Kaine Padly,Spicy Special Slims,2022-02-28,"$3,878",177,"$1,842",Bites,Delish
Van Tuxwell,Mint Chip Choco,2022-02-28,"$9,863",520,"$1,060",Bars,Yummies
Husein Augar,White Choc,2022-02-28,"$3,451",346,$93,Other,Yummies
Beverie Moffet,Choco Coated Almonds,2022-02-28,"$8,078",385,"$5,034",Bites,Jucies
Marney O'Breen,Peanut Butter Cubes,2022-02-28,"$3,115",120,$599,Bites,Yummies
Marney O'Breen,99% Dark & Pure,2022-02-28,"$1,981",95,$518,Bars,Yummies
Beverie Moffet,85% Dark Bars,2022-02-28,"$8,078",426,$314,Bars,Jucies
Roddy Speechley,Drinking Coco,2022-02-28,"$8,757",351,$870,Other,Delish
Ches Bonnell,White Choc,2022-02-28,"$4,466",406,$111,Other,Tempo
Wilone O'Kielt,Manuka Honey Choco,2022-02-28,$896,34,$287,Other,Delish
Kelci Walkden,Choco Coated Almonds,2022-02-28,"$10,045",670,"$8,683",Bites,Yummies
Curtice Advani,Eclairs,2022-02-28,"$12,845",857,"$2,755",Bites,Delish
Oby Sorrel,Eclairs,2022-02-28,"$8,708",581,"$1,556",Bites,Jucies
Dennison Crosswaite,70% Dark Bites,2022-02-28,$476,44,$348,Bites,Yummies
Camilla Castle,Raspberry Choco,2022-02-28,"$2,625",120,$717,Bars,Tempo
Van Tuxwell,Fruit & Nut Bars,2022-02-28,"$10,969",646,"$1,184",Bars,Yummies
Barr Faughny,50% Dark Bites,2022-03-02,"$14,763",985,"$3,199",Bites,Yummies
Oby Sorrel,70% Dark Bites,2022-03-02,"$13,188",1884,"$18,636",Bites,Jucies
Gigi Bohling,Almond Choco,2022-03-02,"$6,944",386,"$6,080",Bars,Delish
Oby Sorrel,Caramel Stuffed Bars,2022-03-02,"$8,561",306,$256,Bars,Jucies
Marney O'Breen,Caramel Stuffed Bars,2022-03-02,"$4,753",217,$178,Bars,Yummies
Roddy Speechley,Drinking Coco,2022-03-02,"$10,388",473,"$1,277",Other,Delish
Madelene Upcott,Caramel Stuffed Bars,2022-03-02,"$8,057",310,$256,Bars,Jucies
Barr Faughny,99% Dark & Pure,2022-03-02,$7,1,$4,Bars,Yummies
Wilone O'Kielt,Baker's Choco Chips,2022-03-02,"$1,666",209,"$1,207",Bars,Delish
Van Tuxwell,Milk Bars,2022-03-02,"$3,934",158,$321,Bars,Yummies
Karlen McCaffrey,Manuka Honey Choco,2022-03-02,"$11,746",368,"$2,759",Other,Yummies
Curtice Advani,Orange Choco,2022-03-02,"$10,150",1015,"$9,632",Bars,Delish
Mallorie Waber,Almond Choco,2022-03-02,"$8,204",513,"$7,601",Bars,Tempo
Barr Faughny,Almond Choco,2022-03-02,"$8,015",501,"$6,621",Bars,Yummies
Rafaelita Blaksland,Mint Chip Choco,2022-03-02,"$2,695",159,$400,Bars,Yummies
Jehu Rudeforth,Fruit & Nut Bars,2022-03-02,"$4,277",286,$469,Bars,Tempo
Gigi Bohling,Caramel Stuffed Bars,2022-03-02,"$1,617",68,$57,Bars,Delish
Rafaelita Blaksland,Peanut Butter Cubes,2022-03-02,"$6,181",248,"$1,261",Bites,Yummies
Beverie Moffet,85% Dark Bars,2022-03-03,"$5,957",249,$198,Bars,Jucies
Roddy Speechley,Choco Coated Almonds,2022-03-03,"$4,550",253,"$2,844",Bites,Delish
Gigi Bohling,After Nines,2022-03-03,"$7,217",278,"$1,675",Bites,Delish
Curtice Advani,Eclairs,2022-03-03,"$4,151",260,$762,Bites,Delish
Brien Boise,Manuka Honey Choco,2022-03-03,"$7,910",256,"$2,424",Other,Jucies
Kelci Walkden,Drinking Coco,2022-03-03,"$5,446",188,$466,Other,Yummies
Roddy Speechley,Orange Choco,2022-03-03,"$9,443",1050,"$9,780",Bars,Delish
Jan Morforth,Drinking Coco,2022-03-03,"$7,945",346,$840,Other,Delish
Dotty Strutley,85% Dark Bars,2022-03-03,"$6,167",257,$190,Bars,Delish
Dennison Crosswaite,Orange Choco,2022-03-04,"$12,404",955,"$9,650",Bars,Yummies
Dotty Strutley,Peanut Butter Cubes,2022-03-04,"$7,168",378,"$1,815",Bites,Delish
Marney O'Breen,Almond Choco,2022-03-04,"$2,779",155,"$1,862",Bars,Yummies
Karlen McCaffrey,Raspberry Choco,2022-03-05,"$17,843",1190,"$8,273",Bars,Yummies
Andria Kimpton,Almond Choco,2022-03-05,"$1,491",68,"$1,053",Bars,Jucies
Van Tuxwell,After Nines,2022-03-05,"$4,907",164,"$1,061",Bites,Yummies
Oby Sorrel,Orange Choco,2022-03-05,"$11,452",1273,"$12,193",Bars,Jucies
Rafaelita Blaksland,White Choc,2022-03-05,"$7,301",812,$221,Other,Yummies
Curtice Advani,Fruit & Nut Bars,2022-03-05,"$1,708",122,$177,Bars,Delish
Marney O'Breen,Spicy Special Slims,2022-03-05,"$6,013",215,"$1,802",Bites,Yummies
Karlen McCaffrey,Fruit & Nut Bars,2022-03-05,"$3,654",261,$416,Bars,Yummies
Madelene Upcott,70% Dark Bites,2022-03-05,"$13,279",1660,"$12,999",Bites,Jucies
Mallorie Waber,Manuka Honey Choco,2022-03-05,"$8,554",276,"$2,069",Other,Tempo
Husein Augar,White Choc,2022-03-05,"$8,554",713,$172,Other,Yummies
Roddy Speechley,Spicy Special Slims,2022-03-05,$14,1,$11,Bites,Delish
Beverie Moffet,Almond Choco,2022-03-05,"$2,156",114,"$1,400",Bars,Jucies
Jan Morforth,Smooth Sliky Salty,2022-03-06,"$3,605",181,$872,Bars,Delish
Camilla Castle,Spicy Special Slims,2022-03-06,"$3,668",142,"$1,543",Bites,Tempo
Curtice Advani,Eclairs,2022-03-06,"$6,909",329,$909,Bites,Delish
Beverie Moffet,Baker's Choco Chips,2022-03-06,"$7,434",744,"$5,113",Bars,Jucies
Husein Augar,Smooth Sliky Salty,2022-03-06,"$2,030",127,$746,Bars,Yummies
Van Tuxwell,Baker's Choco Chips,2022-03-06,"$12,201",763,"$4,315",Bars,Yummies
Andria Kimpton,Milk Bars,2022-03-06,"$5,075",203,$398,Bars,Jucies
Kelci Walkden,Smooth Sliky Salty,2022-03-06,"$9,478",527,"$2,540",Bars,Yummies
Dotty Strutley,Baker's Choco Chips,2022-03-06,"$4,774",597,"$3,848",Bars,Delish
Gunar Cockshoot,Milk Bars,2022-03-06,"$7,413",323,$651,Bars,Yummies
Oby Sorrel,Baker's Choco Chips,2022-03-06,"$5,950",744,"$4,434",Bars,Jucies
Barr Faughny,Milk Bars,2022-03-06,"$4,592",192,$387,Bars,Yummies
Rafaelita Blaksland,85% Dark Bars,2022-03-06,$42,2,$1,Bars,Yummies
Kaine Padly,Choco Coated Almonds,2022-03-06,"$1,148",77,$804,Bites,Delish
Curtice Advani,Smooth Sliky Salty,2022-03-09,"$3,122",165,$845,Bars,Delish
Jehu Rudeforth,99% Dark & Pure,2022-03-09,"$6,510",362,"$1,670",Bars,Tempo
Rafaelita Blaksland,Milk Bars,2022-03-09,"$1,421",53,$107,Bars,Yummies
Rafaelita Blaksland,Spicy Special Slims,2022-03-09,$273,13,$139,Bites,Yummies
Curtice Advani,85% Dark Bars,2022-03-09,"$15,400",963,$670,Bars,Delish
Kaine Padly,50% Dark Bites,2022-03-09,"$11,193",700,"$1,803",Bites,Delish
Curtice Advani,99% Dark & Pure,2022-03-09,"$15,813",753,"$4,175",Bars,Delish
Dennison Crosswaite,85% Dark Bars,2022-03-09,"$4,375",274,$196,Bars,Yummies
Dotty Strutley,50% Dark Bites,2022-03-09,"$11,683",899,"$3,021",Bites,Delish
Van Tuxwell,Spicy Special Slims,2022-03-09,"$9,009",361,"$3,723",Bites,Yummies
Rafaelita Blaksland,Spicy Special Slims,2022-03-09,"$7,112",264,"$2,771",Bites,Yummies
Marney O'Breen,Orange Choco,2022-03-09,$882,126,"$1,063",Bars,Yummies
Oby Sorrel,70% Dark Bites,2022-03-09,"$5,152",644,"$6,105",Bites,Jucies
Ches Bonnell,Almond Choco,2022-03-09,"$2,947",174,"$2,718",Bars,Tempo
Kaine Padly,85% Dark Bars,2022-03-09,"$2,905",146,$116,Bars,Delish
Brien Boise,Caramel Stuffed Bars,2022-03-09,"$2,548",107,$93,Bars,Jucies
Jehu Rudeforth,Drinking Coco,2022-03-09,"$3,437",157,$432,Other,Tempo
Dennison Crosswaite,Raspberry Choco,2022-03-09,"$5,740",410,"$2,700",Bars,Yummies
Gigi Bohling,85% Dark Bars,2022-03-09,"$2,842",168,$119,Bars,Delish
Barr Faughny,99% Dark & Pure,2022-03-09,"$9,863",429,"$1,899",Bars,Yummies
Andria Kimpton,99% Dark & Pure,2022-03-09,"$2,772",164,$718,Bars,Jucies
Brien Boise,Eclairs,2022-03-09,"$7,833",603,"$1,598",Bites,Jucies
Curtice Advani,Baker's Choco Chips,2022-03-10,"$10,248",684,"$3,827",Bars,Delish
Andria Kimpton,Raspberry Choco,2022-03-10,"$5,677",355,"$2,490",Bars,Jucies
Rafaelita Blaksland,Orange Choco,2022-03-10,"$8,596",1433,"$14,481",Bars,Yummies
Wilone O'Kielt,Spicy Special Slims,2022-03-10,"$6,657",267,"$2,287",Bites,Delish
Gigi Bohling,Baker's Choco Chips,2022-03-10,"$8,134",678,"$4,082",Bars,Delish
Jan Morforth,Caramel Stuffed Bars,2022-03-10,"$3,122",105,$98,Bars,Delish
Marney O'Breen,White Choc,2022-03-10,$875,55,$12,Other,Yummies
Dotty Strutley,Caramel Stuffed Bars,2022-03-10,"$3,199",134,$123,Bars,Delish
Oby Sorrel,Orange Choco,2022-03-10,"$5,600",700,"$7,135",Bars,Jucies
Van Tuxwell,Choco Coated Almonds,2022-03-10,"$2,646",177,"$2,152",Bites,Yummies
Dennison Crosswaite,99% Dark & Pure,2022-03-10,"$16,940",706,"$3,520",Bars,Yummies
Roddy Speechley,Organic Choco Syrup,2022-03-10,"$9,191",368,$616,Other,Delish
Gunar Cockshoot,Smooth Sliky Salty,2022-03-10,"$9,562",456,"$2,518",Bars,Yummies
Curtice Advani,Manuka Honey Choco,2022-03-10,$567,20,$177,Other,Delish
Mallorie Waber,Fruit & Nut Bars,2022-03-10,"$5,173",288,$514,Bars,Tempo
Kaine Padly,Orange Choco,2022-03-10,"$4,781",342,"$2,735",Bars,Delish
Gunar Cockshoot,Manuka Honey Choco,2022-03-10,"$6,111",191,"$1,357",Other,Yummies
Dennison Crosswaite,Eclairs,2022-03-10,"$2,373",119,$356,Bites,Yummies
Beverie Moffet,Raspberry Choco,2022-03-10,"$17,892",1278,"$7,950",Bars,Jucies
Gigi Bohling,Caramel Stuffed Bars,2022-03-10,"$1,729",70,$60,Bars,Delish
Beverie Moffet,50% Dark Bites,2022-03-10,"$4,508",282,$813,Bites,Jucies
Dotty Strutley,After Nines,2022-03-11,"$11,641",432,"$2,685",Bites,Delish
Camilla Castle,Drinking Coco,2022-03-11,"$3,647",131,$318,Other,Tempo
Gigi Bohling,Organic Choco Syrup,2022-03-11,"$5,670",237,$460,Other,Delish
Van Tuxwell,Mint Chip Choco,2022-03-11,"$1,036",58,$128,Bars,Yummies
Jehu Rudeforth,Raspberry Choco,2022-03-11,"$11,067",615,"$4,088",Bars,Tempo
Karlen McCaffrey,Caramel Stuffed Bars,2022-03-11,"$3,010",131,$121,Bars,Yummies
Wilone O'Kielt,Almond Choco,2022-03-11,"$4,753",207,"$2,487",Bars,Delish
Dennison Crosswaite,Raspberry Choco,2022-03-11,"$11,690",616,"$3,907",Bars,Yummies
Husein Augar,Choco Coated Almonds,2022-03-11,"$1,428",96,"$1,101",Bites,Yummies
Madelene Upcott,70% Dark Bites,2022-03-11,"$5,467",547,"$4,870",Bites,Jucies
Barr Faughny,Peanut Butter Cubes,2022-03-11,"$11,018",501,"$2,782",Bites,Yummies
Marney O'Breen,Baker's Choco Chips,2022-03-11,"$10,171",1272,"$7,890",Bars,Yummies
Camilla Castle,Raspberry Choco,2022-03-11,"$4,935",260,"$1,887",Bars,Tempo
Mallorie Waber,After Nines,2022-03-11,"$2,499",81,$570,Bites,Tempo
Jehu Rudeforth,Almond Choco,2022-03-11,"$2,492",139,"$1,781",Bars,Tempo
Karlen McCaffrey,Baker's Choco Chips,2022-03-11,"$17,549",1755,"$11,953",Bars,Yummies
Van Tuxwell,Manuka Honey Choco,2022-03-11,"$6,636",256,"$2,303",Other,Yummies
Van Tuxwell,After Nines,2022-03-11,"$8,904",308,"$2,305",Bites,Yummies
Oby Sorrel,Orange Choco,2022-03-11,"$16,702",1392,"$11,865",Bars,Jucies
Gigi Bohling,Drinking Coco,2022-03-11,"$1,701",59,$149,Other,Delish
Ches Bonnell,Peanut Butter Cubes,2022-03-11,"$10,269",541,"$3,030",Bites,Tempo
Jehu Rudeforth,Orange Choco,2022-03-11,"$4,410",630,"$6,366",Bars,Tempo
Kaine Padly,White Choc,2022-03-12,"$1,610",115,$26,Other,Delish
Marney O'Breen,Choco Coated Almonds,2022-03-12,"$14,399",800,"$10,551",Bites,Yummies
Husein Augar,Spicy Special Slims,2022-03-12,"$1,169",49,$406,Bites,Yummies
Kaine Padly,Smooth Sliky Salty,2022-03-12,"$13,867",694,"$4,181",Bars,Delish
Brien Boise,70% Dark Bites,2022-03-12,"$2,261",283,"$2,356",Bites,Jucies
Mallorie Waber,Caramel Stuffed Bars,2022-03-12,"$2,394",83,$69,Bars,Tempo
Van Tuxwell,Milk Bars,2022-03-12,"$5,243",228,$506,Bars,Yummies
Beverie Moffet,99% Dark & Pure,2022-03-12,"$4,501",196,$877,Bars,Jucies
Karlen McCaffrey,Manuka Honey Choco,2022-03-13,"$2,513",77,$668,Other,Yummies
Karlen McCaffrey,Spicy Special Slims,2022-03-13,"$2,828",114,"$1,018",Bites,Yummies
Kaine Padly,Orange Choco,2022-03-13,"$13,944",1550,"$13,620",Bars,Delish
Jan Morforth,Organic Choco Syrup,2022-03-13,"$3,136",112,$205,Other,Delish
Curtice Advani,Almond Choco,2022-03-13,"$6,587",347,"$4,632",Bars,Delish
Kelci Walkden,Spicy Special Slims,2022-03-13,"$2,254",87,$961,Bites,Yummies
Andria Kimpton,Orange Choco,2022-03-13,"$6,356",795,"$7,265",Bars,Jucies
Gunar Cockshoot,Eclairs,2022-03-13,"$2,688",168,$554,Bites,Yummies
Roddy Speechley,Fruit & Nut Bars,2022-03-13,"$5,719",477,$768,Bars,Delish
Kelci Walkden,White Choc,2022-03-13,$238,27,$6,Other,Yummies
Jan Morforth,Manuka Honey Choco,2022-03-13,"$3,486",113,$838,Other,Delish
Beverie Moffet,Almond Choco,2022-03-13,"$4,228",193,"$2,989",Bars,Jucies
Karlen McCaffrey,After Nines,2022-03-16,"$12,054",389,"$2,714",Bites,Yummies
Van Tuxwell,Baker's Choco Chips,2022-03-16,$777,52,$329,Bars,Yummies
Husein Augar,Almond Choco,2022-03-16,"$1,281",81,"$1,049",Bars,Yummies
